"","MSSubClass","MSZoning","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","HeatingQC","CentralAir","GrLivArea","KitchenQual","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageArea","GarageQual","GarageCond","PavedDrive","Fence","SaleType","SaleCondition","SalePrice","BeenRemod","EraBuilt","Pool","TotBathrooms","TotPorch"
"26","20","RL","NoAlley","Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","1Story","8","5",2007,"Gable","VinylSd","VinylSd","Stone",6.46302945692067,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",7.35691824235602,"Ex","Y",7.37838371299671,"Gd","Typ",1,"Gd","Attchd","RFn",890,"TA","TA","Y","None","WD","Normal",12.4541039123522,"FALSE","2000s","FALSE",2,4.04305126783455
"27","20","RL","NoAlley","Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story","5","7",2000,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",5.45958551414416,"Rec",6.80350525760834,"TA","Y",6.80350525760834,"Gd","Typ",0,"No","Detchd","Unf",576,"TA","TA","Y","None","WD","Normal",11.8115474774603,"TRUE","1950s","FALSE",1.5,5.54126354515843
"28","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story","8","5",2008,"Gable","VinylSd","VinylSd","Stone",5.30330490805908,"Gd","TA","PConc","Ex","TA","No","GLQ",7.10578612948127,"Unf",7.44132038971762,"Ex","Y",7.44132038971762,"Gd","Typ",1,"Gd","Attchd","RFn",772,"TA","TA","Y","None","WD","Normal",12.6313403809345,"TRUE","2000s","FALSE",3,3.93182563272433
"29","20","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story","5","6",1997,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",7.15305163493748,"Unf",7.3031700512368,"TA","Y",7.37838371299671,"TA","Typ",2,"Gd","Attchd","RFn",319,"TA","TA","Y","None","WD","Normal",12.2428866186529,"TRUE","1950s","FALSE",2,6.30444880242198
"30","30","RM","NoAlley","IR1","Lvl","Inside","Gtl","BrkSide","Feedr","1Fam","1Story","4","6",1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",6.25575004175337,"Fa","N",6.25575004175337,"Fa","Typ",0,"No","Detchd","Unf",240,"Fa","TA","Y","None","WD","Normal",11.1345890242503,"TRUE","1920s","FALSE",1,4.91998092582813
"31","70","C (all)","Pave","Reg","Lvl","Inside","Gtl","IDOTRR","Feedr","1Fam","2Story","4","4",1950,"Gambrel","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",6.47697236288968,"TA","N",7.18387071506245,"TA","Typ",0,"No","Detchd","Unf",250,"TA","Fa","N","MnPrv","WD","Normal",10.5966347330961,"TRUE","1920s","FALSE",1,5.4249500174814
"32","20","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","Sawyer","Norm","1Fam","1Story","5","6",2006,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",7.11395610956603,"Gd","Y",7.11395610956603,"Gd","Typ",0,"No","Attchd","Unf",271,"TA","TA","Y","MnPrv","WD","Normal",11.9140478236443,"TRUE","1960s","FALSE",1.5,4.18965474202643
"33","20","RL","NoAlley","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story","8","5",2007,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",7.11882624906208,"Ex","Y",7.11882624906208,"Gd","Typ",0,"No","Attchd","RFn",484,"TA","TA","Y","None","WD","Normal",12.1001564199386,"FALSE","2000s","FALSE",2,3.43398720448515
"34","20","RL","NoAlley","IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","5",1959,"Hip","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",6.92657703322272,"Unf",7.24351297466548,"Gd","Y",7.43897159239586,"Gd","Typ",1,"Gd","Attchd","RFn",447,"TA","TA","Y","None","WD","Normal",12.0167264737993,"FALSE","1950s","FALSE",2,3.66356164612965
"35","120","RL","NoAlley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story","9","5",2005,"Hip","MetalSd","MetalSd","BrkFace",5.50938833662798,"Ex","TA","PConc","Ex","TA","No","GLQ",7.05098944706805,"Unf",7.35372233039963,"Ex","Y",7.35372233039963,"Ex","Typ",1,"Gd","Attchd","Fin",556,"TA","TA","Y","None","WD","Normal",12.5335762121686,"FALSE","2000s","FALSE",3,5.52545293913178
"36","60","RL","NoAlley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story","8","5",2005,"Gable","VinylSd","VinylSd","Stone",4.89034912822175,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",7.01929665371504,"Ex","Y",7.80506704425849,"Gd","Typ",1,"Gd","BuiltIn","Fin",691,"TA","TA","Y","None","WD","Normal",12.6410965558799,"TRUE","2000s","FALSE",3.5,4.98360662170834
"37","20","RL","NoAlley","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story","5","5",1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",7.00124562206948,"Ex","Y",7.00124562206948,"TA","Typ",0,"No","Attchd","Unf",672,"TA","TA","Y","None","WD","Normal",11.8844890214027,"TRUE","1990s","FALSE",1.5,6.12468339089421
"38","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","6",1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",6.47850964220857,"TA","TA","CBlock","TA","TA","No","Rec",7.10167597161944,"Unf",7.16857989726403,"Gd","Y",7.16857989726403,"TA","Typ",1,"TA","Attchd","Fin",498,"TA","TA","Y","None","WD","Normal",11.9381932003746,"TRUE","1950s","FALSE",1.5,0
"39","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","7",2007,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",6.59578051396131,"Unf",6.96413561241824,"TA","Y",6.96413561241824,"Gd","Typ",0,"No","Detchd","Unf",246,"TA","TA","Y","None","WD","Abnorml",11.5991031612113,"TRUE","1950s","FALSE",2,3.97029191355212
"40","90","RL","NoAlley","Reg","Lvl","Inside","Gtl","Edwards","Norm","Duplex","1Story","4","5",1955,"Gable","AsbShng","Plywood","None",0,"TA","TA","PConc","No","No","No","No",0,"No",0,"TA","N",7.05012252026906,"Fa","Typ",0,"No","NoGarage","NoGarage",0,"NoGarage","NoGarage","N","None","WD","AdjLand",11.3144745262464,"FALSE","1950s","FALSE",2,0
"41","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","6","5",1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",4.62497281328427,"TA","TA","CBlock","TA","TA","No","Rec",6.46769872610435,"Unf",6.99301512293296,"Ex","Y",7.18916773842032,"TA","Typ",1,"TA","Attchd","RFn",440,"TA","TA","Y","GdWo","WD","Abnorml",11.982929094216,"FALSE","1960s","FALSE",2,4.93447393313069
"42","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","Timber","Norm","1Fam","1Story","5","6",1959,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",6.87523208727658,"Unf",7.2086003379602,"Gd","Y",7.19218205871325,"TA","Typ",2,"Gd","Attchd","RFn",308,"TA","TA","P","None","WD","Normal",12.0435537160324,"FALSE","1950s","FALSE",2,4.65396035015752
"43","85","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","SawyerW","Norm","1Fam","SFoyer","5","7",1983,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",6.61740297797448,"LwQ",6.73459165997295,"Gd","Y",6.78558764500793,"Gd","Typ",0,"No","Attchd","RFn",504,"TA","Gd","Y","MnPrv","WD","Normal",11.8775685785581,"FALSE","1980s","FALSE",2,5.48479693349065
"44","20","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","CollgCr","Norm","1Fam","1Story","5","6",1980,"Hip","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",5.63835466933375,"BLQ",6.84481547920826,"TA","Y",6.84481547920826,"TA","Typ",0,"No","Detchd","Unf",308,"TA","TA","Y","MnPrv","WD","Normal",11.7772109596156,"TRUE","1970s","FALSE",2,4.98360662170834
"45","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","6",1959,"Gable","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",5.19295685089021,"BLQ",7.04838640872188,"Ex","Y",7.04838640872188,"TA","Typ",0,"No","Attchd","RFn",300,"TA","TA","Y","None","WD","Normal",11.8565151693603,"FALSE","1950s","FALSE",2,0
"46","120","RL","NoAlley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story","9","5",2005,"Hip","MetalSd","MetalSd","BrkFace",6.02344759296103,"Ex","TA","PConc","Ex","TA","No","GLQ",6.12468339089421,"Unf",7.46908388492123,"Ex","Y",7.46908388492123,"Ex","Typ",1,"Gd","Attchd","RFn",576,"TA","TA","Y","None","WD","Normal",12.6757637259376,"FALSE","2000s","FALSE",3,5.63121178182137
"47","50","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam","1.5Fin","7","5",2003,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",7.20934025660291,"Unf",7.26892012819372,"Ex","Y",7.67322312112171,"Gd","Typ",1,"Ex","Attchd","RFn",670,"TA","TA","Y","None","WD","Abnorml",12.3870850123755,"FALSE","2000s","FALSE",2.5,6.01615715969835
"48","20","FV","NoAlley","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story","8","5",2006,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",3.2188758248682,"Unf",7.41276401742656,"Ex","Y",7.41276401742656,"Gd","Typ",0,"No","Attchd","RFn",826,"TA","TA","Y","None","WD","Normal",12.4280154762679,"FALSE","2000s","FALSE",2,4.99043258677874
"49","190","RM","NoAlley","Reg","Lvl","Inside","Gtl","OldTown","Norm","2fmCon","2Story","4","5",2008,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",6.60258789218934,"Gd","Y",7.28138566357028,"TA","Typ",0,"No","NoGarage","NoGarage",0,"NoGarage","NoGarage","N","None","New","Partial",11.6351430976945,"TRUE","1920s","FALSE",2,4.63472898822964
"50","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","7",1966,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",6.63856778916652,"Unf",6.8627579130514,"Ex","Y",6.8627579130514,"TA","Typ",0,"No","Attchd","Unf",386,"TA","TA","Y","MnPrv","WD","Normal",11.7519423654407,"FALSE","1960s","FALSE",2,0
"51","60","RL","NoAlley","IR2","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","2Story","6","6",1997,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",5.20948615284142,"Unf",6.67834211465433,"Gd","Y",7.29369772060144,"TA","Typ",0,"No","Attchd","Fin",388,"TA","TA","Y","None","WD","Normal",12.083905011556,"FALSE","1990s","FALSE",2.5,4.33073334028633
"52","50","RM","NoAlley","Reg","Lvl","Inside","Gtl","BrkSide","Norm","1Fam","1.5Fin","6","6",1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",6.70563909486,"TA","Y",7.07072410726028,"TA","Typ",1,"Gd","Detchd","Unf",528,"TA","TA","Y","MnPrv","WD","Normal",11.6483301019764,"TRUE","1930s","FALSE",1,4.72738781871234
"53","90","RM","NoAlley","IR2","Bnk","Corner","Mod","IDOTRR","RRNn","Duplex","1Story","5","5",1963,"Gable","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","TA","Gd","LwQ",4.65396035015752,"GLQ",6.70563909486,"TA","N",6.70563909486,"TA","Typ",0,"No","CarPort","Unf",516,"TA","TA","Y","None","WD","Normal",11.6082356447746,"FALSE","1960s","FALSE",2,4.67282883446191
"54","20","RL","NoAlley","IR1","Low","Inside","Gtl","Veenker","Norm","1Fam","1Story","9","5",1987,"Gable","WdShing","Wd Shng","None",0,"Gd","TA","CBlock","Ex","TA","Gd","GLQ",7.50163445788341,"Unf",7.51914995766982,"Gd","Y",7.51914995766982,"Gd","Typ",1,"Gd","Attchd","Fin",894,"TA","TA","Y","None","WD","Normal",12.8609986132699,"TRUE","1980s","FALSE",2.5,6.8351845861473
"55","80","RL","NoAlley","Reg","Bnk","Inside","Mod","NAmes","Norm","1Fam","SLvl","5","5",1955,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",5.95324333428778,"Unf",5.95324333428778,"TA","Y",7.21597500265147,"TA","Min1",1,"TA","Detchd","Unf",572,"TA","TA","Y","MnPrv","WD","Normal",11.7752897294377,"FALSE","1950s","FALSE",1,3.93182563272433
"56","20","RL","NoAlley","IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","6","5",1964,"Gable","HdBoard","Plywood","BrkFace",5.60947179518496,"TA","TA","CBlock","TA","TA","No","BLQ",6.19644412779452,"Unf",7.26262860097424,"Gd","Y",7.26262860097424,"TA","Typ",1,"Gd","Attchd","RFn",576,"TA","TA","Y","None","WD","Normal",12.1034860567551,"FALSE","1960s","FALSE",2,6.01126717440416
"57","160","FV","Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","Twnhs","2Story","8","5",2000,"Gable","MetalSd","MetalSd","BrkFace",6.12468339089421,"Gd","TA","PConc","Gd","TA","No","GLQ",6.47697236288968,"Unf",6.87832646829133,"Ex","Y",7.46164039220858,"Gd","Typ",0,"No","Attchd","Fin",480,"TA","TA","Y","None","WD","Abnorml",12.0581525154536,"TRUE","1990s","FALSE",3.5,4.75359019110636
"58","60","RL","NoAlley","IR1","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","2Story","7","5",2004,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",6.75809450442773,"Ex","Y",7.45066079621154,"Gd","Typ",0,"No","Attchd","RFn",565,"TA","TA","Y","None","WD","Normal",12.1884177102915,"FALSE","2000s","FALSE",2.5,4.26267987704132
"59","60","RL","NoAlley","IR2","HLS","CulDSac","Gtl","StoneBr","Norm","1Fam","2Story","10","5",2006,"Hip","VinylSd","VinylSd","BrkFace",6.93925394604151,"Ex","TA","PConc","Ex","TA","Gd","Unf",0,"Unf",7.25205395185281,"Ex","Y",7.98820359702258,"Gd","Typ",1,"Gd","BuiltIn","Fin",641,"TA","TA","Y","None","New","Partial",12.9917534274931,"FALSE","2000s","FALSE",3.5,5.4380793089232
